Date,High,Low,Open,Close,Volume,Adj Close
2018-01-02,128.42999267578125,127.16999816894531,127.43000030517578,128.3699951171875,83500,128.3699951171875
2018-01-03,130.24000549316406,128.55999755859375,128.67999267578125,130.1300048828125,162200,130.1300048828125
2018-01-04,132.16000366210938,131.3000030517578,131.30999755859375,132.16000366210938,161800,132.16000366210938
2018-01-05,133.8699951171875,133.0800018310547,133.11000061035156,133.86000061035156,135300,133.86000061035156
2018-01-08,134.7899932861328,133.6199951171875,133.97999572753906,134.77000427246094,131200,134.77000427246094
2018-01-09,133.8300018310547,133.08999633789062,133.82000732421875,133.72000122070312,148000,133.72000122070312
2018-01-10,137.2899932861328,136.08999633789062,136.72999572753906,136.39999389648438,389500,136.39999389648438
2018-01-11,136.91000366210938,135.6300048828125,136.69000244140625,136.91000366210938,180000,136.91000366210938
2018-01-12,137.1999969482422,136.44000244140625,136.69000244140625,137.1999969482422,101200,137.1999969482422
2018-01-16,139.5,137.58999633789062,139.1999969482422,137.97000122070312,257800,137.97000122070312
2018-01-17,140.99000549316406,139.64999389648438,140.6199951171875,140.72000122070312,394400,140.72000122070312
2018-01-18,139.30999755859375,138.41000366210938,139.27000427246094,138.6300048828125,173300,138.6300048828125
2018-01-19,140.30999755859375,139.36000061035156,139.88999938964844,139.85000610351562,170600,139.85000610351562
2018-01-22,139.39999389648438,138.67999267578125,138.97000122070312,139.39999389648438,249800,139.39999389648438
2018-01-23,139.6300048828125,138.9499969482422,139.6300048828125,139.27999877929688,164800,139.27999877929688
2018-01-24,139.64999389648438,138.5,139.50999450683594,139.02999877929688,236800,139.02999877929688
2018-01-25,139.44000244140625,137.7100067138672,139.44000244140625,138.17999267578125,270900,138.17999267578125
2018-01-26,139.74000549316406,138.89999389648438,139.35000610351562,139.55999755859375,319300,139.55999755859375
2018-01-29,140.4600067138672,139.4600067138672,139.9499969482422,139.52999877929688,249200,139.52999877929688
2018-01-30,140.27000427246094,139.25,139.97999572753906,139.6199951171875,217200,139.6199951171875
2018-01-31,138.52000427246094,137.14999389648438,138.4499969482422,137.9199981689453,224600,137.9199981689453
2018-02-01,139.25,138.22000122070312,138.24000549316406,138.8000030517578,169600,138.8000030517578
2018-02-02,138.99000549316406,136.58999633789062,138.89999389648438,136.6199951171875,253200,136.6199951171875
2018-02-05,136.11000061035156,131.30999755859375,135.5,131.92999267578125,313800,131.92999267578125
2018-02-06,139.47999572753906,133.25,134.35000610351562,138.75999450683594,513200,138.75999450683594
2018-02-07,138.77999877929688,136.85000610351562,137.33999633789062,136.8800048828125,217800,136.8800048828125
2018-02-08,138.2899932861328,134.41000366210938,138.1999969482422,134.42999267578125,387700,134.42999267578125
2018-02-09,137.63999938964844,133.02999877929688,137.16000366210938,136.57000732421875,433000,136.57000732421875
2018-02-12,139.13999938964844,136.7899932861328,137.75999450683594,138.75999450683594,255100,138.75999450683594
2018-02-13,135.2899932861328,133.8000030517578,134.10000610351562,135.0399932861328,300100,135.0399932861328
2018-02-14,135.5800018310547,132.16000366210938,132.74000549316406,135.47000122070312,262600,135.47000122070312
2018-02-15,135.3300018310547,134.1300048828125,135.0,135.27999877929688,218500,135.27999877929688
2018-02-16,136.75999450683594,135.89999389648438,135.92999267578125,136.1999969482422,158500,136.1999969482422
2018-02-20,136.58999633789062,135.39999389648438,135.6999969482422,135.85000610351562,128800,135.85000610351562
2018-02-21,136.50999450683594,134.8000030517578,135.82000732421875,134.8000030517578,144300,134.8000030517578
2018-02-22,136.19000244140625,134.9499969482422,135.6199951171875,135.22999572753906,148000,135.22999572753906
2018-02-23,137.0800018310547,135.72999572753906,136.07000732421875,137.02999877929688,101800,137.02999877929688
2018-02-26,138.55999755859375,137.05999755859375,137.3699951171875,138.42999267578125,125600,138.42999267578125
2018-02-27,137.9499969482422,136.02000427246094,137.72999572753906,136.02999877929688,150800,136.02999877929688
2018-02-28,136.22000122070312,134.57000732421875,136.1699981689453,134.60000610351562,135600,134.60000610351562
2018-03-01,133.55999755859375,129.5,133.47999572753906,130.38999938964844,444200,130.38999938964844
2018-03-02,130.72999572753906,128.60000610351562,129.1699981689453,130.58999633789062,214200,130.58999633789062
2018-03-05,131.4199981689453,128.9600067138672,129.3000030517578,130.97999572753906,161200,130.97999572753906
2018-03-06,131.83999633789062,130.74000549316406,131.67999267578125,131.33999633789062,194900,131.33999633789062
2018-03-07,130.0,128.41000366210938,129.47999572753906,129.82000732421875,284100,129.82000732421875
2018-03-08,129.80999755859375,128.72999572753906,129.1999969482422,129.55999755859375,233800,129.55999755859375
2018-03-09,130.1300048828125,127.86000061035156,128.6199951171875,129.6999969482422,473000,129.6999969482422
2018-03-12,131.0,130.0399932861328,130.0399932861328,130.33999633789062,144000,130.33999633789062
2018-03-13,131.1699981689453,129.6699981689453,130.66000366210938,130.0,174200,130.0
2018-03-14,131.2100067138672,129.8699951171875,131.2100067138672,130.0,116100,130.0
2018-03-15,131.0,129.92999267578125,130.55999755859375,130.38999938964844,102400,130.38999938964844
2018-03-16,130.41000366210938,129.89999389648438,130.0800018310547,129.91000366210938,91400,129.91000366210938
2018-03-19,129.35000610351562,127.25,129.16000366210938,127.83999633789062,179500,127.83999633789062
2018-03-20,129.38999938964844,128.52000427246094,128.5500030517578,129.25,69100,129.25
2018-03-21,130.1999969482422,128.8699951171875,129.2899932861328,129.27999877929688,110500,129.27999877929688
2018-03-22,128.64999389648438,126.94999694824219,128.30999755859375,127.0199966430664,177300,127.0199966430664
2018-03-23,126.72000122070312,124.45999908447266,126.44999694824219,124.5,223200,124.5
2018-03-26,127.48999786376953,125.25,126.2699966430664,127.30999755859375,158700,127.30999755859375
2018-03-27,130.11000061035156,127.55000305175781,129.47999572753906,128.0399932861328,347600,128.0399932861328
2018-03-28,129.74000549316406,128.13999938964844,128.2100067138672,129.3699951171875,348300,129.3699951171875
2018-03-29,130.9499969482422,129.0800018310547,130.0,130.3699951171875,165000,130.3699951171875
